date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2010-07-15,Beans (black) - Wholesale,MT,pulses and nuts,1606.335,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2010-08-15,Beans (black) - Wholesale,MT,pulses and nuts,1679.874,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2010-09-15,Beans (black) - Wholesale,MT,pulses and nuts,1707.31,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2010-10-15,Beans (black) - Wholesale,MT,pulses and nuts,1627.995,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2010-11-15,Beans (black) - Wholesale,MT,pulses and nuts,1684.36,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2010-12-15,Beans (black) - Wholesale,MT,pulses and nuts,1284.5833,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2011-01-15,Beans (black) - Wholesale,MT,pulses and nuts,1140.325,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2011-02-15,Beans (black) - Wholesale,MT,pulses and nuts,1143.9133,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2011-03-15,Beans (black) - Wholesale,MT,pulses and nuts,1514.175,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2011-04-15,Beans (black) - Wholesale,MT,pulses and nuts,1528.23,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2011-05-15,Beans (black) - Wholesale,MT,pulses and nuts,1585.24,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2011-06-15,Beans (black) - Wholesale,MT,pulses and nuts,1495.32,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2011-07-15,Beans (black) - Wholesale,MT,pulses and nuts,1478.39,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2011-08-15,Beans (black) - Wholesale,MT,pulses and nuts,1389.324,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2011-09-15,Beans (black) - Wholesale,MT,pulses and nuts,1375.6525,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2011-10-15,Beans (black) - Wholesale,MT,pulses and nuts,1398.778,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2011-11-15,Beans (black) - Wholesale,MT,pulses and nuts,1326.335,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2011-12-15,Beans (black) - Wholesale,MT,pulses and nuts,1387.4567,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2012-01-15,Beans (black) - Wholesale,MT,pulses and nuts,1388.4625,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2012-02-15,Beans (black) - Wholesale,MT,pulses and nuts,1375.2025,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2012-03-15,Beans (black) - Wholesale,MT,pulses and nuts,1410.865,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2012-04-15,Beans (black) - Wholesale,MT,pulses and nuts,1428.1375,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2012-05-15,Beans (black) - Wholesale,MT,pulses and nuts,1436.92,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2012-06-15,Beans (black) - Wholesale,MT,pulses and nuts,1468.1025,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2012-07-15,Beans (black) - Wholesale,MT,pulses and nuts,1483.154,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2012-08-15,Beans (black) - Wholesale,MT,pulses and nuts,1556.6925,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2012-09-15,Beans (black) - Wholesale,MT,pulses and nuts,1488.29,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2012-10-15,Beans (black) - Wholesale,MT,pulses and nuts,1448.335,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2012-11-15,Beans (black) - Wholesale,MT,pulses and nuts,1422.3567,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2012-12-15,Beans (black) - Wholesale,MT,pulses and nuts,1508.17,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2013-01-15,Beans (black) - Wholesale,MT,pulses and nuts,1433.85,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2013-02-15,Beans (black) - Wholesale,MT,pulses and nuts,1456.6025,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2013-03-15,Beans (black) - Wholesale,MT,pulses and nuts,1588.75,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2013-04-15,Beans (black) - Wholesale,MT,pulses and nuts,1502.7567,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2013-05-15,Beans (black) - Wholesale,MT,pulses and nuts,1431.63,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2013-06-15,Beans (black) - Wholesale,MT,pulses and nuts,1488.1833,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2013-07-15,Beans (black) - Wholesale,MT,pulses and nuts,1486.8367,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2013-08-15,Beans (black) - Wholesale,MT,pulses and nuts,1533.4867,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2013-09-15,Beans (black) - Wholesale,MT,pulses and nuts,1512.166,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2013-10-15,Beans (black) - Wholesale,MT,pulses and nuts,1421.35,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2013-11-15,Beans (black) - Wholesale,MT,pulses and nuts,1404.26,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2013-12-15,Beans (black) - Wholesale,MT,pulses and nuts,1470.62,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2014-01-15,Beans (black) - Wholesale,MT,pulses and nuts,1583.09,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2014-02-15,Beans (black) - Wholesale,MT,pulses and nuts,1590.275,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2014-03-15,Beans (black) - Wholesale,MT,pulses and nuts,1548.276,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2014-04-15,Beans (black) - Wholesale,MT,pulses and nuts,1606.17,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2014-05-15,Beans (black) - Wholesale,MT,pulses and nuts,1668.245,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2014-06-15,Beans (black) - Wholesale,MT,pulses and nuts,1789.136,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2014-07-15,Beans (black) - Wholesale,MT,pulses and nuts,1817.9367,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2014-08-15,Beans (black) - Wholesale,MT,pulses and nuts,1830.1775,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2014-09-15,Beans (black) - Wholesale,MT,pulses and nuts,1927.02,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
